id;id_operator;id_user_operator;id_torneo;acumulado;last_report
1;24313;Inteligente leading-edge Plástico;23236;2210;2022-05-26T04:52:23
2;41119;withdrawal Belarussian Ensalada;6381;21160;2022-05-26T05:53:57
3;98658;Vasco;63501;4599;2022-05-26T17:44:09
4;15003;transmitter;81653;73592;2022-05-26T02:47:40
5;38407;Especialista override;53716;48404;2022-05-26T17:16:03
6;96198;payment;23906;12370;2022-05-26T16:50:02
7;79852;Pública deposit Distrito;61816;28588;2022-05-26T15:32:40
8;84958;Rioja;96298;56205;2022-05-26T13:46:58
9;70093;Factores GB Municipio;90506;16050;2022-05-26T18:29:26
10;18938;overriding Madera Agente;96933;97288;2022-05-26T13:59:39
